@RELATION dados

@ATTRIBUTE A1	REAL
@ATTRIBUTE A2	REAL
@ATTRIBUTE A3	REAL
@ATTRIBUTE A4	REAL
@ATTRIBUTE A5	REAL
@ATTRIBUTE A6	REAL
@ATTRIBUTE A7	REAL
@ATTRIBUTE A8	REAL
@ATTRIBUTE A9	REAL
@ATTRIBUTE A10	REAL
@ATTRIBUTE A11	REAL
@ATTRIBUTE A12	REAL
@ATTRIBUTE A13	REAL
@ATTRIBUTE A14	REAL
@ATTRIBUTE A15	REAL
@ATTRIBUTE A16	REAL
@ATTRIBUTE A17	REAL
@ATTRIBUTE A18	REAL
@ATTRIBUTE A19	REAL
@ATTRIBUTE A20	REAL
@ATTRIBUTE A21	REAL
@ATTRIBUTE A22	REAL
@ATTRIBUTE A23	REAL
@ATTRIBUTE A24	REAL
@ATTRIBUTE A25	REAL
@ATTRIBUTE A26	REAL
@ATTRIBUTE A27	REAL
@ATTRIBUTE A28	REAL
@ATTRIBUTE A29	REAL
@ATTRIBUTE A30	REAL
@ATTRIBUTE A31	REAL
@ATTRIBUTE A32	REAL
@ATTRIBUTE A33	REAL
@ATTRIBUTE A34	REAL
@ATTRIBUTE A35	REAL
@ATTRIBUTE A36	REAL
@ATTRIBUTE A37	REAL
@ATTRIBUTE A38	REAL
@ATTRIBUTE class {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}

@DATA
0.017964, 0.038922, 0.061377, 0.086826, 0.115269, 0.143713, 0.182635, 0.244012, 0.296407, 0.351796, 0.408683, 0.488024, 0.559880, 0.630240, 0.708084, 0.778443, 0.827844, 0.853293, 0.875749, 0.899701, 0.919162, 0.941617, 0.964072, 0.986527, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 2
0.016949, 0.037288, 0.061017, 0.086441, 0.111864, 0.140678, 0.172881, 0.252542, 0.289831, 0.333898, 0.415254, 0.488136, 0.559322, 0.625424, 0.700000, 0.761017, 0.830508, 0.871186, 0.896610, 0.916949, 0.937288, 0.959322, 0.984746, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 2
0.017857, 0.040584, 0.061688, 0.089286, 0.116883, 0.144481, 0.173701, 0.232143, 0.285714, 0.347403, 0.396104, 0.470779, 0.548701, 0.620130, 0.694805, 0.772727, 0.824675, 0.853896, 0.878247, 0.902597, 0.923701, 0.944805, 0.964286, 0.996753, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 2
0.017572, 0.038339, 0.060703, 0.083067, 0.108626, 0.140575, 0.178914, 0.226837, 0.284345, 0.337061, 0.396166, 0.472843, 0.549521, 0.613419, 0.685304, 0.758786, 0.814696, 0.849840, 0.875399, 0.897764, 0.920128, 0.940895, 0.961661, 0.984026, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 2
0.017544, 0.036683, 0.060606, 0.082935, 0.113238, 0.145136, 0.178628, 0.234450, 0.288676, 0.344498, 0.406699, 0.484848, 0.558214, 0.628389, 0.701754, 0.770335, 0.824561, 0.856459, 0.880383, 0.902711, 0.923445, 0.944179, 0.964912, 0.988836, 0.998405, 0.998405, 0.998405, 0.998405, 0.998405, 0.998405, 0.998405, 0.998405, 0.998405, 0.998405, 0.998405, 0.998405, 0.998405, 0.998405, 2
0.017054, 0.038760, 0.062016, 0.085271, 0.108527, 0.139535, 0.175194, 0.248062, 0.294574, 0.333333, 0.395349, 0.479070, 0.555039, 0.626357, 0.708527, 0.759690, 0.801550, 0.843411, 0.875969, 0.897674, 0.919380, 0.942636, 0.962791, 0.989147, 0.998450, 0.998450, 0.998450, 0.998450, 0.998450, 0.998450, 0.998450, 0.998450, 0.998450, 0.998450, 0.998450, 0.998450, 0.998450, 0.998450, 2
0.015748, 0.039370, 0.065617, 0.091864, 0.120735, 0.141732, 0.162730, 0.228346, 0.272966, 0.317585, 0.351706, 0.425197, 0.498688, 0.580052, 0.671916, 0.737533, 0.774278, 0.811024, 0.850394, 0.874016, 0.895013, 0.918635, 0.937008, 0.960630, 0.986877, 0.997375, 0.997375, 0.997375, 0.997375, 0.997375, 0.997375, 0.997375, 0.997375, 0.997375, 0.997375, 0.997375, 0.997375, 0.997375, 2
0.016349, 0.040872, 0.068120, 0.095368, 0.119891, 0.147139, 0.168937, 0.223433, 0.269755, 0.324251, 0.376022, 0.444142, 0.528610, 0.604905, 0.686649, 0.765668, 0.803815, 0.841962, 0.869210, 0.891008, 0.912807, 0.934605, 0.956403, 0.980926, 0.997275, 0.997275, 0.997275, 0.997275, 0.997275, 0.997275, 0.997275, 0.997275, 0.997275, 0.997275, 0.997275, 0.997275, 0.997275, 0.997275, 2
0.016529, 0.035813, 0.057851, 0.079890, 0.104683, 0.134986, 0.168044, 0.206612, 0.272727, 0.319559, 0.366391, 0.432507, 0.512397, 0.589532, 0.663912, 0.741047, 0.785124, 0.826446, 0.848485, 0.870523, 0.892562, 0.917355, 0.942149, 0.961433, 0.983471, 0.997245, 0.997245, 0.997245, 0.997245, 0.997245, 0.997245, 0.997245, 0.997245, 0.997245, 0.997245, 0.997245, 0.997245, 0.997245, 2
0.017647, 0.038235, 0.060294, 0.083824, 0.108824, 0.133824, 0.169118, 0.223529, 0.266176, 0.310294, 0.373529, 0.445588, 0.519118, 0.594118, 0.673529, 0.733824, 0.801471, 0.851471, 0.882353, 0.904412, 0.925000, 0.948529, 0.969118, 0.998529, 0.998529, 0.998529, 0.998529, 0.998529, 0.998529, 0.998529, 0.998529, 0.998529, 0.998529, 0.998529, 0.998529, 0.998529, 0.998529, 0.998529, 2
